,School_Original,Nickname_Original,Conference_Original,ID,FullName,ShortName,Mascot,Location,Conference,PrestigeHistoric,PrestigeCurrent
311,Bethune–Cookman University,Wildcats,SWAC,,,,,,,,
312,"Florida Agricultural and Mechanical University (Florida A&M, FAMU)",Rattlers,SWAC,,,,,,,,
313,Grambling State University,Tigers,SWAC,,,,,,,,
314,Jackson State University,Tigers,SWAC,,,,,,,,
315,Mississippi Valley State University,Delta Devils,SWAC,,,,,,,,
316,Prairie View A&M University,Panthers,SWAC,,,,,,,,
317,Southern University,Jaguars,SWAC,,,,,,,,
318,Texas Southern University,Tigers,SWAC,,,,,,,,
319,University of Denver,Pioneers,The Summit,,,,,,,,
320,University of Missouri–Kansas City (Kansas City),Roos,The Summit,,,,,,,,
321,University of North Dakota,Fighting Hawks,The Summit,,,,,,,,
322,North Dakota State University (NDSU),Bison,The Summit,,,,,,,,
323,University of Nebraska Omaha (Omaha),Mavericks,The Summit,,,,,,,,
324,Oral Roberts University,Golden Eagles,The Summit,,,,,,,,
325,University of St. Thomas[o],Tommies,The Summit,,,,,,,,
326,University of South Dakota,Coyotes,The Summit,,,,,,,,
327,South Dakota State University,Jackrabbits,The Summit,,,,,,,,
328,Appalachian State University,Mountaineers,Sun Belt,,,,,,,,
329,Arkansas State University,Red Wolves,Sun Belt,,,,,,,,
330,Coastal Carolina University,Chanticleers,Sun Belt,,,,,,,,
331,Georgia Southern University,Eagles,Sun Belt,,,,,,,,
332,Georgia State University,Panthers,Sun Belt,,,,,,,,
333,James Madison University (JMU),Dukes,Sun Belt,,,,,,,,
334,University of Louisiana at Lafayette (Louisiana),Ragin' Cajuns,Sun Belt,,,,,,,,
335,University of Louisiana at Monroe (Louisiana–Monroe or ULM),Warhawks,Sun Belt,,,,,,,,
336,Marshall University,Thundering Herd,Sun Belt,,,,,,,,
337,Old Dominion University,Monarchs,Sun Belt,,,,,,,,
338,University of South Alabama,Jaguars,Sun Belt,,,,,,,,
339,University of Southern Mississippi (Southern Miss),Golden Eagles,Sun Belt,,,,,,,,
340,Texas State University,Bobcats,Sun Belt,,,,,,,,
341,Troy University,Trojans,Sun Belt,,,,,,,,
342,Gonzaga University,Bulldogs,West Coast,,,,,,,,
343,Loyola Marymount University,Lions,West Coast,,,,,,,,
344,University of the Pacific,Tigers,West Coast,,,,,,,,
345,Pepperdine University,Waves,West Coast,,,,,,,,
346,University of Portland,Pilots,West Coast,,,,,,,,
347,Saint Mary's College of California (Saint Mary's),Gaels,West Coast,,,,,,,,
348,University of San Diego,Toreros,West Coast,,,,,,,,
349,University of San Francisco,Dons,West Coast,,,,,,,,
350,Santa Clara University,Broncos,West Coast,,,,,,,,
351,Abilene Christian University,Wildcats,WAC,,,,,,,,
352,California Baptist University (CBU),Lancers,WAC,,,,,,,,
353,Grand Canyon University,Antelopes,WAC[p],,,,,,,,
354,Seattle University,Redhawks,WAC[p],,,,,,,,
355,Southern Utah University,Thunderbirds,WAC,,,,,,,,
356,"Stephen F. Austin State University (Stephen F. Austin, SFA)",Lumberjacks,WAC[q],,,,,,,,
357,Tarleton State University (Tarleton)[b],Texans,WAC,,,,,,,,
358,Utah Tech University[b][r],Trailblazers,WAC,,,,,,,,
359,Utah Valley University,Wolverines,WAC,,,,,,,,
360,University of Texas at Arlington (UT Arlington),Mavericks,WAC,,,,,,,,
361,University of Texas Rio Grande Valley (UTRGV),Vaqueros,WAC[q],,,,,,,,
